created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 05:17:43 UTC,335089,90.00,0.00,0.89,0.00,0.00
2017-06-30 05:18:48 UTC,335090,225.00,0.00,0.89,0.00,0.00
2017-06-30 05:19:54 UTC,335091,135.00,0.00,0.89,0.00,0.00
2017-06-30 05:20:59 UTC,335092,135.00,0.00,0.89,0.00,0.00
2017-06-30 05:22:04 UTC,335093,45.00,0.00,0.89,0.00,0.00
2017-06-30 05:23:09 UTC,335094,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:24:15 UTC,335095,180.00,0.00,1.34,0.00,0.00
2017-06-30 05:25:20 UTC,335096,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:26:25 UTC,335097,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:27:30 UTC,335098,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:28:38 UTC,335099,90.00,0.00,1.34,0.00,0.00
2017-06-30 05:29:42 UTC,335100,180.00,0.00,1.34,0.00,0.00
2017-06-30 05:31:51 UTC,335101,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:32:57 UTC,335102,90.00,0.00,0.45,0.00,0.00
2017-06-30 05:34:02 UTC,335103,45.00,0.45,1.34,0.00,0.00
2017-06-30 05:35:07 UTC,335104,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:36:13 UTC,335105,0.00,0.00,1.34,0.00,0.00
2017-06-30 05:37:18 UTC,335106,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:38:28 UTC,335107,135.00,0.00,1.34,0.00,0.00
2017-06-30 05:39:28 UTC,335108,0.00,0.00,0.89,0.00,0.00
2017-06-30 05:40:34 UTC,335109,45.00,0.00,0.89,0.00,0.00
2017-06-30 05:41:39 UTC,335110,0.00,0.00,0.89,0.00,0.00
2017-06-30 05:42:44 UTC,335111,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:43:50 UTC,335112,0.00,0.00,0.45,0.00,0.00
2017-06-30 05:44:55 UTC,335113,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:46:00 UTC,335114,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:47:05 UTC,335115,90.00,0.00,0.89,0.00,0.00
2017-06-30 05:48:12 UTC,335116,45.00,0.00,0.89,0.00,0.00
